protocol_type,src_ip,dst_ip,sport,dport,tcp_flags,packet_size,ttl,service,flag,duration,flow_duration,packet_rate,packet_count,byte_count,avg_packet_size,syn_count,ack_count,fin_count,rst_count,prediction
tcp,172.24.245.120,13.107.5.93,58296,443,FA,54,64,https,S2,0.0,0.0,0.0,1,54,54.0,0,1,1,0,neptune
tcp,13.107.5.93,172.24.245.120,443,58296,FA,54,111,other,S2,0.0,0.0,0.0,1,54,54.0,0,2,1,0,neptune
udp,172.24.245.120,185.125.190.57,44815,123,None,90,64,ntp,OTH,0.0,0.0,0.0,1,90,90.0,0,0,0,0,neptune
udp,185.125.190.57,172.24.245.120,123,44815,None,90,49,other,OTH,0.0,0.0,0.0,1,90,90.0,0,0,0,0,neptune
protocol_type,src_ip,dst_ip,sport,dport,tcp_flags,packet_size,ttl,service,flag,duration,flow_duration,packet_rate,packet_count,byte_count,avg_packet_size,syn_count,ack_count,fin_count,rst_count,prediction
udp,172.24.240.1,239.255.255.250,58074,1900,None,212,1,other,OTH,0.0,0.0,0.0,1,212,212.0,0,0,0,0,neptune
udp,172.24.240.1,239.255.255.250,58074,1900,None,212,1,other,OTH,0.9980523586273193,0.9980523586273193,2.003902884164032,2,424,212.0,0,0,0,0,normal
udp,172.24.240.1,239.255.255.250,58074,1900,None,212,1,other,OTH,2.008837938308716,2.008837938308716,1.4934007083347725,3,636,212.0,0,0,0,0,normal
udp,172.24.245.120,185.125.190.57,58906,123,None,90,64,ntp,OTH,0.0,0.0,0.0,1,90,90.0,0,0,0,0,neptune
udp,185.125.190.57,172.24.245.120,123,58906,None,90,49,other,OTH,0.0,0.0,0.0,1,90,90.0,0,0,0,0,neptune
udp,172.24.240.1,224.0.0.251,5353,5353,None,225,1,mdns,OTH,0.0,0.0,0.0,1,225,225.0,0,0,0,0,neptune
udp,172.24.240.1,224.0.0.251,5353,5353,None,90,1,mdns,OTH,0.0043277740478515625,0.0043277740478515625,462.1313353900397,2,315,157.5,0,0,0,0,neptune
